419000607,22.699333,69.626000,None,None,None,None,None,2026-06-03 04:06:58.124+00,lrit,None,OCEAN CITRINE,9626481,None,None,None,None,None,Offshore vessels,None
419000621,18.762000,72.322667,None,None,None,None,None,2026-06-03 04:06:56.636+00,lrit,None,GREATSHIP ROOPA,9570761,None,None,None,None,None,Offshore vessels,None
419000633,13.100000,80.304000,None,None,None,None,None,2026-06-03 04:11:23.508+00,lrit,None,SAMUDRA RATNAKAR,9639581,None,None,None,None,None,Offshore vessels,None
419000640,13.086000,80.351333,None,None,None,None,None,2026-06-03 04:09:10.063+00,lrit,None,COASTAL TRIUMPH,9534913,None,None,None,None,None,Offshore Support Vessel (OSV),None
419000648,19.334000,71.494000,None,None,None,None,None,2026-06-03 04:07:06.295+00,lrit,None,GREATSHIP RACHNA,9607332,None,None,None,None,None,Offshore vessels,None
419000812,20.282000,86.672000,None,None,None,None,None,2026-06-03 04:06:31.368+00,lrit,None,OCEAN MORGANITE,9676498,None,None,None,None,None,Anchor Handling,None
419000858,17.656667,83.296667,None,None,None,None,None,2026-06-03 04:07:26.247+00,lrit,None,OCEAN JADE I,9660762,None,None,None,None,None,General,None
419000862,14.376667,81.298667,None,None,None,None,None,2026-06-03 04:07:22.511+00,lrit,None,DAWN MADURAI,9116383,None,None,None,None,None,Crude Carrier,None
419000875,-8.748667,13.305333,None,None,None,None,None,2026-06-03 04:09:44.196+00,lrit,None,GREATSHIP VIMLA,9618238,None,None,None,None,None,Offshore vessels,None
419000893,22.527333,69.708000,None,None,None,None,None,2026-06-03 04:07:03.325+00,lrit,None,OCEAN CORAL,9676503,None,None,None,None,None,Offshore vessels,None
419000905,14.340667,72.564000,None,None,None,None,None,2026-06-03 04:09:08.545+00,lrit,None,DAWN MANSAROVAR,9188776,None,None,None,None,None,Tankers,None
419000914,21.081333,72.596000,None,None,None,None,None,2026-06-03 04:11:21.96+00,lrit,None,SSL MUMBAI,9137545,None,None,None,None,None,Bulk Carriers,None
419000915,12.026667,93.030667,None,None,None,None,None,2026-06-03 04:04:51.474+00,lrit,None,GREEN OCEAN 1,8631697,None,None,None,None,None,Ferry,None
419000915,12.026667,93.030667,None,None,None,None,None,2026-06-03 04:04:51.474+00,lrit,None,GREEN OCEAN 1,8631697,None,None,None,None,None,Passenger,None
419000923,18.942000,72.861333,None,None,None,None,None,2026-06-03 04:04:48.475+00,lrit,None,FUGRO MAPPER,9529047,None,None,None,None,None,Offshore Support Vessel (OSV),None
419000923,18.942000,72.861333,None,None,None,None,None,2026-06-03 04:04:48.475+00,lrit,None,FUGRO MAPPER,9529047,None,None,None,None,None,Offshore vessels,None
419000938,11.685333,92.720667,None,None,None,None,None,2026-06-03 04:09:15.257+00,lrit,None,TCI ARJUN,9258234,None,None,None,None,None,Container With gear,None
419000954,9.991333,76.266667,None,None,None,None,None,2026-06-03 04:06:49.934+00,lrit,None,NEFERTITI,9828443,None,None,None,None,None,Passenger,None
419001053,18.938667,72.863333,None,None,None,None,None,2026-06-03 04:06:39.611+00,lrit,None,OCEAN AQUAMARINE,9404211,None,None,None,None,None,Harbour,None
419001053,18.938667,72.863333,None,None,None,None,None,2026-06-03 04:06:39.611+00,lrit,None,OCEAN AQUAMARINE,9404211,None,None,None,None,None,Salvage,None
419001122,20.829333,86.974000,None,None,None,None,None,2026-06-03 04:04:40.25+00,lrit,None,SHANTI SAGAR 24,9430026,None,None,None,None,None,Harbour,None
419001122,20.829333,86.974000,None,None,None,None,None,2026-06-03 04:04:40.25+00,lrit,None,SHANTI SAGAR 24,9430026,None,None,None,None,None,Offshore vessels,None
419001139,-10.342667,56.584667,None,None,None,None,None,2026-06-03 04:01:01.183+00,lrit,None,BHEEM,9807970,None,None,None,None,None,Ocean Going,None
419001139,-10.342667,56.584667,None,None,None,None,None,2026-06-03 04:01:01.183+00,lrit,None,BHEEM,9807970,None,None,None,None,None,Offshore vessels,None
419001201,18.942000,72.843333,None,None,None,None,None,2026-06-03 04:04:29.073+00,lrit,None,WILCHIEF 1,8304799,None,None,None,None,None,Offshore vessels,None
419001202,14.253333,80.129333,None,None,None,None,None,2026-06-03 04:07:13.516+00,lrit,None,JAL VAIBHAV,9317389,None,None,None,None,None,Bulk Carriers,None
419001223,38.032667,-122.129333,None,None,None,None,None,2026-06-03 04:02:24.425+00,lrit,None,JAG LEELA,9568184,None,None,None,None,None,Crude VLCC,None
419001224,57.484667,8.775333,None,None,None,None,None,2026-06-03 04:02:38.473+00,lrit,None,JAG LAXMI,9568196,None,None,None,None,None,Crude Carrier,None
419001236,18.854667,72.835333,None,None,None,None,None,2026-06-03 04:06:52.16+00,lrit,None,JSW RAIGAD,9797319,None,None,None,None,None,Bulk Carrier Without gear,None
419001248,17.284667,73.239333,None,None,None,None,None,2026-06-03 04:09:16.733+00,lrit,None,SHANTI SAGAR 17,9802451,None,None,None,None,None,General,None
419001249,18.582000,84.431333,None,None,None,None,None,2026-06-03 04:06:49.195+00,lrit,None,SCI SARASWATI,9680889,None,None,None,None,None,Offshore vessels,None
419001255,20.860667,87.008667,None,None,None,None,None,2026-06-03 04:06:50.678+00,lrit,None,SHANTI SAGAR 18,9802463,None,None,None,None,None,General,None
419001256,22.565333,69.752000,None,None,None,None,None,2026-06-03 04:04:08.123+00,lrit,None,COASTAL COMMANDER,9694153,None,None,None,None,None,Offshore vessels,None
419001268,19.052000,72.591333,None,None,None,None,None,2026-06-03 04:04:17.87+00,lrit,None,DESH ABHIMAAN,9326809,None,None,None,None,None,Tankers,None
419001269,19.012000,71.785333,None,None,None,None,None,2026-06-03 04:09:06.285+00,lrit,None,ALBATROSS 5,9236808,None,None,None,None,None,Offshore vessels,None
419001287,18.939333,72.866667,None,None,None,None,None,2026-06-03 04:09:01.772+00,lrit,None,SAGAR FORTUNE,9458327,None,None,None,None,None,Offshore vessels,None
419001292,11.366000,79.856667,None,None,None,None,None,2026-06-03 04:07:25.503+00,lrit,None,SEA HUNTER,9549827,None,None,None,None,None,General,None
419001292,11.366000,79.856667,None,None,None,None,None,2026-06-03 04:07:25.503+00,lrit,None,SEA HUNTER,9549827,None,None,None,None,None,Salvage,None
