419000103,20.856000,69.550667,None,None,None,None,None,2026-06-04 02:01:46.972+00,lrit,None,SWARNA MALA,9421403,None,None,None,None,None,Product,None
419000175,-29.162000,32.110667,None,None,None,None,None,2026-06-04 02:06:08.494+00,lrit,None,VISHVA EKTA,9487897,None,None,None,None,None,Bulk Carrier Without gear,None
419000178,19.158667,72.509333,None,None,None,None,None,2026-06-04 02:01:42.494+00,lrit,None,VISHVA VIKAS,9487902,None,None,None,None,None,Livestock,None
419000179,-23.834000,37.034000,None,None,None,None,None,2026-06-04 02:07:59.881+00,lrit,None,VISHVA DIKSHA,9487914,None,None,None,None,None,Roll on Roll off,None
419000205,18.764667,72.616000,None,None,None,None,None,2026-06-04 02:07:54.64+00,lrit,None,LTS 3000 ,9446843,None,None,None,None,None,Lash,None
419000212,19.550667,71.275333,None,None,None,None,None,2026-06-04 02:07:49.415+00,lrit,None,K D MALAVIYA,9576349,None,None,None,None,None,Multi Purpose,None
419000218,18.623333,70.952000,None,None,None,None,None,2026-06-04 02:05:26.139+00,lrit,None,N B PRASAD,9576387,None,None,None,None,None,Anchor Handling,None
419000236,18.945333,72.864667,None,None,None,None,None,2026-06-04 02:03:17.072+00,lrit,None,ORION LAXMI,9606716,None,None,None,None,None,Jack Up Drill Ship,None
419000289,13.088000,80.296667,None,None,None,None,None,2026-06-04 02:05:40.357+00,lrit,None,TCI PRABHU,9195236,None,None,None,None,None,Dry Cargo Vessels,None
419000294,19.322667,72.004000,None,None,None,None,None,2026-06-04 02:05:55.127+00,lrit,None,SCI PAWAN,9547233,None,None,None,None,None,Offshore vessels,None
419000348,-27.272667,-20.119333,None,None,None,None,None,2026-06-04 02:08:11.871+00,lrit,None,MAHA ANOSHA,9425473,None,None,None,None,None,Bulk Carrier Without gear,None
419000348,-27.272667,-20.119333,None,None,None,None,None,2026-06-04 02:08:11.871+00,lrit,None,MAHA ANOSHA,9425473,None,None,None,None,None,Car Carrier,None
419000372,18.248667,73.017333,None,None,None,None,None,2026-06-04 02:03:38.667+00,lrit,None,CHANDRA SUN,9386134,None,None,None,None,None,None,None
419000372,18.248667,73.017333,None,None,None,None,None,2026-06-04 02:03:38.667+00,lrit,None,CHANDRA SUN,9386134,None,None,None,None,None,Salvage,None
419000377,9.950000,76.266000,None,None,None,None,None,2026-06-04 02:03:52.803+00,lrit,None,ELIKALPENI,9649378,None,None,None,None,None,Reefer,None
419000520,13.275333,80.342000,None,None,None,None,None,2026-06-04 02:05:29.131+00,lrit,None,OCEAN THUNDER,9517769,None,None,None,None,None,Offshore vessels,None
419000530,8.738667,72.989333,None,None,None,None,None,2026-06-04 02:08:31.452+00,lrit,None,CORALS,9651008,None,None,None,None,None,Passenger,None
419000531,9.955333,76.116667,None,None,None,None,None,2026-06-04 02:08:30.686+00,lrit,None,LAGOONS,9651010,None,None,None,None,None,Dry Cargo Vessels,None
419000596,18.982667,71.631333,None,None,None,None,None,2026-06-04 02:03:28.216+00,lrit,None,OSL STELLAR,9592513,None,None,None,None,None,Offshore Support Vessel (OSV),None
419000596,18.982667,71.631333,None,None,None,None,None,2026-06-04 02:03:28.216+00,lrit,None,OSL STELLAR,9592513,None,None,None,None,None,Offshore vessels,None
419000622,6.981333,79.704667,None,None,None,None,None,2026-06-04 02:07:58.385+00,lrit,None,DESH SHOBHA,9459046,None,None,None,None,None,Crude Carrier,None
419000845,20.864667,71.387333,None,None,None,None,None,2026-06-04 02:01:37.223+00,lrit,None,SURYA 3,9710672,None,None,None,None,None,Lash,None
