mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigatetion_status,updated,source_name,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
244853000,62.02745,19.649849,12.8,191.7,190.0,0.0,0,1780349403,MSSIS,0,FWN ATLANTIDE,9535620,PELO,0.0,0.0,5.5,SE OSK,70,1900-01-01 00:00:00
440066170,35.088688,129.03064,8.6,156.7,511.0,0.0,15,1780349403,MSSIS,0,,0,317,0.0,0.0,0.0,,89,1900-01-01 00:00:00
219009101,56.41296,10.922485,0.0,228.5,263.0,0.0,5,1780349403,MSSIS,0,SLEIPNER R,9173771,OVUS2,0.0,0.0,1.8,GRENAA DK,90,1900-01-01 00:00:00
211662900,55.26096,9.730625,0.0,134.0,511.0,0.0,15,1780349403,MSSIS,0,ANNA,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
244339000,57.056953,10.799798,9.1,156.5,158.0,0.0,0,1780349403,MSSIS,0,ARKLOW GLEN,9874090,PGVN,0.0,0.0,6.3,AARHUS,70,1900-01-01 00:00:00
211489640,51.241898,4.448665,0.0,21.0,338.0,0.0,5,1780349403,MSSIS,0,STELLA,0,DC4885,0.0,0.0,0.0,,20,1900-01-01 00:00:00
211419500,57.0584,9.89668,0.2,360.0,511.0,0.0,15,1780349403,MSSIS,0,BLUE FANTASIA,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
235009590,51.02006,2.1891067,0.0,70.4,69.0,0.0,0,1780349403,MSSIS,0,DELFT SEAWAYS,9293088,MJYC9,0.0,0.0,0.0,GBDVR  FRDNK,60,1900-01-01 00:00:00
219005979,54.82981,11.123609,0.0,0.0,511.0,0.0,15,1780349403,MSSIS,0,,0,XP3984,0.0,0.0,0.0,,52,1900-01-01 00:00:00
205489490,51.255432,4.409695,0.0,240.0,511.0,-731.3865,5,1780349403,MSSIS,0,SERENA,0,OT4894,0.0,0.0,0.0,ANTWERPEN,79,1900-01-01 00:00:00
205402090,51.16566,4.331042,0.0,360.0,511.0,-731.3865,5,1780349403,MSSIS,0,ANTIGOON,0,OT4020,0.0,0.0,1.2,,79,1900-01-01 00:00:00
563052500,51.32565,4.335885,0.0,349.8,79.0,0.0,5,1780349403,MSSIS,0,MAERSK MONTE OLIVIA,9283198,9V6839,0.0,0.0,11.7,GBSOUTM,70,1900-01-01 00:00:00
636022659,51.401302,2.5689132,0.0,145.6,53.0,0.0,1,1780349403,MSSIS,0,STAR C,9411135,5LJV7,0.0,0.0,8.2,ARAFOR ORDERS,80,1900-01-01 00:00:00
228929000,47.618977,-3.5428283,5.8,338.5,335.0,-720.00323,0,1780349403,MSSIS,0,FV ADELINE STEPHEN,0,FGUF,0.0,0.0,0.0,,30,1900-01-01 00:00:00
311085000,45.198982,-1.8748,6.4,38.9,42.0,0.0,0,1780349403,MSSIS,0,STAR LEGEND,9008598,C6FR6,0.0,0.0,5.5,FR BOD,69,1900-01-01 00:00:00
228454700,43.17073,5.6111684,0.0,360.0,511.0,0.0,15,1780349403,MSSIS,0,,0,FMXQ,0.0,0.0,0.0,,36,1900-01-01 00:00:00
368063880,38.968594,-76.47604,0.0,360.0,511.0,0.0,15,1780349403,MSSIS,0,WILMA LEE,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
338396106,47.678776,-122.40976,0.0,360.0,511.0,0.0,15,1780349403,MSSIS,0,PURA VIDA,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
227236170,43.110153,3.1528566,3.6,243.7,511.0,0.0,15,1780349403,MSSIS,0,,0,FGD7808,0.0,0.0,0.0,,36,1900-01-01 00:00:00
316013548,54.292805,-130.35481,0.0,88.2,511.0,0.0,15,1780349403,MSSIS,0,,0,,0.0,0.0,0.0,,30,1900-01-01 00:00:00
368107220,47.756195,-122.26015,0.0,11.9,511.0,0.0,15,1780349403,MSSIS,0,NABELLA II,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
338542989,48.106483,-122.77873,0.0,360.0,229.0,0.0,15,1780349403,MSSIS,0,,0,,0.0,0.0,0.0,,60,1900-01-01 00:00:00
368389990,37.785522,-122.26733,0.0,174.3,274.0,0.0,15,1780349403,MSSIS,0,TALISMAN,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
228213900,43.403328,3.7013483,0.0,343.0,356.0,0.0,0,1780349403,MSSIS,0,JVLR MEDITERRANEE,9334260,FMEH,0.0,0.0,4.0,SETE,59,1900-01-01 00:00:00
258383000,59.744755,5.537905,2.9,255.6,255.0,720.00323,0,1780349403,MSSIS,0,BB SERVER,9410612,LAJE,0.0,0.0,5.2,STORD,52,1900-01-01 00:00:00
