mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigatetion_status,updated,source_name,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
219005979,54.8298,11.123638,0.0,0.0,511.0,0.0,15,1780360203,MSSIS,0,,0,XP3984,0.0,0.0,0.0,,52,1900-01-01 00:00:00
368157390,44.13022,-76.33627,0.0,297.5,45.0,0.0,15,1780360203,MSSIS,0,SEAWAY PILOT V,0,WDL7132,0.0,0.0,0.0,,50,1900-01-01 00:00:00
205316790,51.26564,4.268565,0.1,300.0,511.0,-731.3865,2,1780360203,MSSIS,0,SAMARINDA,0,OT3167,0.0,0.0,0.0,KALLO,79,1900-01-01 00:00:00
440014010,35.08696,129.02708,0.1,13.3,511.0,-731.3865,0,1780360203,MSSIS,0,701KYEONGHAE,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
440234000,35.21995,129.23381,0.0,0.0,101.0,0.4017626,0,1780360203,MSSIS,0,MUGUNGHWA16,0,6LTE,0.0,0.0,4.6,FISHERY PROTECTION,55,1900-01-01 00:00:00
224235270,41.37374,2.1848533,0.0,360.0,511.0,-731.3865,15,1780360203,MSSIS,0,MAR VELLA,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
275470000,57.39477,21.537367,0.0,0.0,511.0,0.0,15,1780360203,MSSIS,0,,0,YL2251,0.0,0.0,0.0,,50,1900-01-01 00:00:00
265636730,62.637356,17.939566,0.0,296.2,511.0,-731.3865,15,1780360203,MSSIS,0,RESCUE SXK VASTKUST,0,7SA2427,0.0,0.0,0.8,SWEDISH SAR VESEL,51,1900-01-01 00:00:00
238997240,44.927113,13.801599,0.0,360.0,511.0,-731.3865,0,1780360203,MSSIS,0,VELI BRIJUN,8657483,9AA7302,0.0,0.0,2.0,,69,1900-01-01 00:00:00
338328513,39.024277,-76.53527,0.0,26.8,511.0,0.0,15,1780360203,MSSIS,0,ANDOVER,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
305479000,56.060486,16.51967,9.2,239.8,241.0,0.0,0,1780360203,MSSIS,0,KARMEL,9290672,V2RH2,0.0,0.0,5.4,LVSALDELBC,79,1900-01-01 00:00:00
257743700,63.696198,8.814875,0.0,360.0,511.0,-731.3865,0,1780360203,MSSIS,0,MARION,0,LG8805,0.0,0.0,0.0,BUKKHOLMENLAMOYA,99,1900-01-01 00:00:00
205665570,39.54817,2.5983484,0.0,360.0,511.0,0.0,15,1780360203,MSSIS,0,TEQUILA GT TIME,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
265871000,57.63372,18.277472,0.0,343.5,198.0,0.0,0,1780360203,MSSIS,0,DROTTEN,9223796,SGPI,0.0,0.0,6.4,SE VBY,69,1900-01-01 00:00:00
367689510,45.60932,-122.668724,0.0,93.5,511.0,0.0,15,1780360203,MSSIS,0,,0,WDI3552,0.0,0.0,0.0,,51,1900-01-01 00:00:00
244030035,53.003403,4.7805066,0.0,321.7,315.0,0.0,0,1780360203,MSSIS,0,DOKTER WAGEMAKER,9294070,PH5436,0.0,0.0,4.0,TEXELDEN HELDER,69,1900-01-01 00:00:00
367564290,50.034927,-125.24382,0.0,324.8,251.0,0.0,15,1780360203,MSSIS,0,,0,WDQ6214,0.0,0.0,0.0,,37,1900-01-01 00:00:00
431007657,35.495285,139.71889,0.1,321.5,332.0,0.0,5,1780360203,MSSIS,0,KANAZAWA,0,JD3990,0.0,0.0,4.6,JP KWS TU,70,1900-01-01 00:00:00
