mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigatetion_status,updated,source_name,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
538008595,-33.32089,115.66449,0.0,23.9,313.0,0.0,5,1780353003,MSSIS,0,STAR SAPPHIRE,9860037,V7A2554,0.0,0.0,11.8,SG SIN,70,1900-01-01 00:00:00
311001485,-8.797417,13.256284,0.0,214.4,246.0,-1.1160072,5,1780353003,MSSIS,0,ATLANTICA DUKE,9499682,C6HK4,0.0,0.0,4.4,AOLAD,79,1900-01-01 00:00:00
211196300,54.65974,10.020385,0.0,25.8,182.0,0.0,5,1780353003,MSSIS,0,HEIDA,0,DCME2,0.0,0.0,2.0,OLPENITZ,37,1900-01-01 00:00:00
219031094,54.892025,12.04398,0.0,360.0,511.0,0.0,15,1780353003,MSSIS,0,,0,XPI2391,0.0,0.0,0.0,,37,1900-01-01 00:00:00
211245130,54.654915,9.936798,0.0,360.0,511.0,-731.3865,5,1780353003,MSSIS,0,FORTUNA,0,DCFY,0.0,0.0,1.6,KAPPELN,36,1900-01-01 00:00:00
205371690,51.119225,4.3103666,0.0,360.0,511.0,-731.3865,15,1780353003,MSSIS,0,HEEN EN WEER 3,0,OT3716,0.0,0.0,0.0,KLEINWILLEBROEKBOO,69,1900-01-01 00:00:00
211662900,55.260963,9.730603,0.0,83.5,511.0,0.0,15,1780353003,MSSIS,0,,0,DG6370,0.0,0.0,0.0,,36,1900-01-01 00:00:00
238330740,43.662296,15.656257,0.0,311.4,511.0,-731.3865,5,1780353003,MSSIS,0,MALI PRINC,9553189,9A6045,0.0,0.0,2.0,ZIRJE,40,1900-01-01 00:00:00
251518240,65.54141,-13.75346,0.0,0.0,511.0,0.0,15,1780353003,MSSIS,0,SAEFAXI NS145,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
338115523,41.677555,-70.61401,0.0,298.2,511.0,0.0,15,1780353003,MSSIS,0,LIVE WIRE,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
247326680,42.565636,8.758563,0.0,360.0,511.0,0.0,15,1780353003,MSSIS,0,,0,IN8624,0.0,0.0,0.0,,37,1900-01-01 00:00:00
247302107,42.694702,6.401475,9.6,142.8,142.0,0.0,15,1780353003,MSSIS,0,ABBACHIO,9541132,ICPC5,0.0,0.0,0.0,NAPOLI,70,1900-01-01 00:00:00
218029280,44.775547,13.915725,0.0,250.9,511.0,0.0,15,1780353003,MSSIS,0,,0,DH5462,0.0,0.0,0.0,,36,1900-01-01 00:00:00
263440938,40.66082,-8.729495,0.5,360.0,511.0,0.0,15,1780353003,MSSIS,0,TRANSRIA,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
261026660,54.7972,18.414341,0.0,0.0,511.0,0.0,15,1780353003,MSSIS,0,ARKUN,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
225996147,38.34231,-0.48054832,0.0,360.0,511.0,0.0,15,1780353003,MSSIS,0,,0,EA9089,0.0,0.0,0.0,,37,1900-01-01 00:00:00
255915883,36.501713,-6.261845,0.0,180.9,139.0,0.0,5,1780353003,MSSIS,0,JOHANNES,9815343,CQ2341,0.0,0.0,4.5,ESCAD,70,1900-01-01 00:00:00
224296160,42.256866,-8.705835,0.1,360.0,511.0,0.0,15,1780353003,MSSIS,0,,0,EC2288,0.0,0.0,0.0,,36,1900-01-01 00:00:00
352308000,36.144318,-5.9178333,0.1,344.0,81.0,0.0,1,1780353003,MSSIS,0,PRINCESA GUASIMARA,9442237,3ECO,0.0,0.0,4.7,ESBDF,70,1900-01-01 00:00:00
636093366,34.985466,16.736738,18.3,284.6,284.0,0.0,0,1780353003,MSSIS,0,ESSEN EXPRESS,9501370,5LVY4,0.0,0.0,13.8,EGDAM  SGSIN,71,1900-01-01 00:00:00
203615300,36.28687,-5.280357,0.0,212.8,511.0,0.0,15,1780353003,MSSIS,0,,0,,0.0,0.0,0.0,,36,1900-01-01 00:00:00
224066980,42.238396,-8.7321415,0.0,240.1,26.0,0.0,0,1780353003,MSSIS,0,NUEVOTORREBLANQUILLA,8747458,EADA,0.0,0.0,3.0,VIGO,30,1900-01-01 00:00:00
367549430,38.573093,-90.22803,4.0,45.3,511.0,-731.3865,0,1780353003,MSSIS,0,GATEWAY EXPRESS,124281300,WDG6245,0.0,0.0,2.4,STLSTL,31,1900-01-01 00:00:00
227125540,43.52454,3.9347785,0.0,360.0,511.0,0.0,15,1780353003,MSSIS,0,CORTO,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
431029313,35.393555,139.74936,0.0,304.9,280.0,0.0,1,1780353003,MSSIS,0,HALLBAR,1130058,JD5641,0.0,0.0,5.5,JP TYO NNX OFF,70,1900-01-01 00:00:00
