mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigatetion_status,updated,source_name,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
224071890,36.96523,-7.3416934,9.5,340.2,511.0,-731.3865,0,1780327802,MSSIS,0,NUEVO RIO CARTUJA,0,,0.0,0.0,0.0,,99,1900-01-01 00:00:00
352823000,-20.145655,57.46178,0.1,155.0,68.0,0.0,1,1780327802,MSSIS,0,SUNNY PEAK,9414967,3ENU8,0.0,0.0,5.7,PORTLOUIS,70,1900-01-01 00:00:00
431006764,33.76381,131.16144,0.0,227.5,124.0,0.0,1,1780327802,MSSIS,0,TATSUMI MARU NO2,9742118,JD3899,0.0,0.0,4.8,JP KND OFF,70,1900-01-01 00:00:00
566473000,41.27667,19.40664,0.1,335.0,194.0,-0.4017626,1,1780327802,MSSIS,0,EPIC SULA,9713624,9V2736,0.0,0.0,6.6,FOR ORDERS,80,1900-01-01 00:00:00
257003580,61.573887,4.843715,0.0,360.0,511.0,-731.3865,0,1780327802,MSSIS,0,VESTHAV,0,LG5491,0.0,0.0,1.9,FARM FLAATEGRUNN,9,1900-01-01 00:00:00
251149110,63.401917,-20.06742,1.8,97.9,110.0,0.0,15,1780327802,MSSIS,0,HASTEINN AR8,0,TFJM,0.0,0.0,0.0,,30,1900-01-01 00:00:00
246514000,52.96195,4.7826185,0.1,37.7,123.0,-7.5442085,5,1780327802,MSSIS,0,KNRMJOKE DIJKSTRA,0,PHJD,0.0,0.0,1.0,DEN HELDER,51,1900-01-01 00:00:00
251323000,64.249664,-15.20089,0.0,164.0,344.0,0.0,8,1780327802,MSSIS,0,ASGRIMUR HALLDORSSON,9975777,TFAC,0.0,0.0,6.5,HORNAFJORDUR,30,1900-01-01 00:00:00
538004033,36.428017,-1.2358333,12.8,79.4,79.0,0.044640288,0,1780327802,MSSIS,0,SEAWAYS SABINE,9594755,V7UU6,0.0,0.0,17.0,TRALI,89,1900-01-01 00:00:00
211489640,51.2419,4.448672,0.0,176.0,338.0,0.0,5,1780327802,MSSIS,0,STELLA,0,DC4885,0.0,0.0,0.0,,20,1900-01-01 00:00:00
257126140,67.48841,15.455087,0.0,360.0,511.0,-731.3865,5,1780327802,MSSIS,0,MULTIND,0,LF6805,0.0,0.0,0.0,FISHFARMS,40,1900-01-01 00:00:00
538004352,35.71069,-0.63742334,0.0,210.7,7.0,0.0,5,1780327802,MSSIS,0,SSI VICTORY,9595943,V7WO4,0.0,0.0,10.5,DZORN,70,1900-01-01 00:00:00
224227570,28.141502,-15.367653,1.1,262.3,511.0,-731.3865,4,1780327802,MSSIS,0,PILOT W,0,,0.0,0.0,0.0,,99,1900-01-01 00:00:00
371277000,37.517,7.04024,10.9,81.0,82.0,0.044640288,0,1780327802,MSSIS,0,PROUD UNITY,9860659,3EUM6,0.0,0.0,12.1,EGYPT SUEZ,70,1900-01-01 00:00:00
636019538,30.43743,-81.33286,0.2,288.5,355.0,0.0,1,1780327802,MSSIS,0,AMIS TREASURE,9865362,D5UY5,0.0,0.0,11.5,USJAX,70,1900-01-01 00:00:00
257720350,60.215076,6.1566615,0.0,192.2,277.0,0.0,11,1780327802,MSSIS,0,SYDNES,0,LH6814,0.0,0.0,0.0,STRAUMSNESET,70,1900-01-01 00:00:00
235051012,41.612354,9.395225,0.1,321.8,230.0,0.0,0,1780327802,MSSIS,0,NAVAL AUXILIARY,9240768,,0.0,0.0,0.0,,35,1900-01-01 00:00:00
255803201,15.843547,57.83584,17.3,8.1,9.0,-2.187374,0,1780327802,MSSIS,0,MSC PARIS,9301483,CQQN,0.0,0.0,13.2,AEKLF,70,1900-01-01 00:00:00
617146000,60.384094,5.313135,0.0,360.0,511.0,-731.3865,5,1780327802,MSSIS,0,DJABRABA,8107074,D4IZ,0.0,0.0,0.0,,99,1900-01-01 00:00:00
366934770,38.310146,-123.453445,2.0,316.8,511.0,-731.3865,7,1780327802,MSSIS,0,NOAHS ARK,0,WDH9179,0.0,0.0,0.0,,30,1900-01-01 00:00:00
259030940,63.873405,9.773255,0.0,120.3,75.0,4.464029,5,1780327802,MSSIS,0,ANITA,0,LH5587,0.0,0.0,0.0,,70,1900-01-01 00:00:00
257323400,59.81525,5.2754965,0.0,224.0,138.0,0.0,5,1780327802,MSSIS,0,BASEN,8937041,LGNF,0.0,0.0,3.0,CH1694190580,70,1900-01-01 00:00:00
244670493,52.006844,4.71374,0.0,360.0,511.0,-731.3865,0,1780327802,MSSIS,0,LENA MARIA,0,PD9385,0.0,0.0,1.4,AMSTERDAM OOSTERDOK,60,1900-01-01 00:00:00
369493030,44.625774,-124.056114,0.0,360.0,511.0,-731.3865,5,1780327802,MSSIS,0,47268,0,,0.0,0.0,0.0,NEWPORT,51,1900-01-01 00:00:00
352002703,30.717197,-88.04177,0.0,244.3,350.0,0.0,5,1780327802,MSSIS,0,LIGNUM MATRIX,9973042,3E5016,0.0,0.0,6.4,USMOB,70,1900-01-01 00:00:00
