mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigation_status,updated,source_name,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
636091621,37.838776,23.484852,12.7,286.1,285.0,0.0,0,2026-06-02 12:00:00.000000,MSSIS,False,CONTI GREENLAND,9391397,A8QM9,0.0,0.0,7.5,SIKOPGRAGT,80,none
235101811,57.139793,-2.083845,0.0,270.0,270.0,0.0,5,2026-06-02 12:00:00.000000,MSSIS,False,AURORA POWER,9651890,2GZN4,0.0,0.0,5.0,GBABD,79,none
257176000,57.11972,8.59341,0.0,0.0,238.0,0.0,0,2026-06-02 12:00:00.000000,MSSIS,False,HELLEVIG I,9222405,LEUM,0.0,0.0,0.0,FISHING,30,none
232017576,37.12904,26.857573,0.0,360.0,511.0,0.0,15,2026-06-02 11:59:59.000000,MSSIS,False,SILHOUETTE,0,,0.0,0.0,0.0,,0,none
211889210,54.18182,12.087216,0.0,165.2,3.0,0.0,0,2026-06-02 12:00:00.000000,MSSIS,False,CARPE DIEM,0,DA3308,0.0,0.0,1.4,WARNEMUENDE,69,none
503003260,-27.533081,153.3311,20.0,236.6,234.0,0.0,15,2026-06-02 11:59:59.000000,MSSIS,False,YALINGBILA,0,,0.0,0.0,0.0,,0,none
367662460,38.46866,-81.81791,0.0,179.9,511.0,-731.3865,0,2026-06-02 12:00:00.000000,MSSIS,False,SHIRLEY,0,WDH8882,0.0,0.0,1.8,,52,none
319179400,26.139425,-80.10863,0.0,175.7,194.0,0.0,5,2026-06-02 12:00:00.000000,MSSIS,False,E IV,9855771,ZGKL3,0.0,0.0,2.5,PORT EVERGLADES,37,none
368099770,28.962997,-89.23812,0.1,282.1,511.0,-731.3865,1,2026-06-02 12:00:00.000000,MSSIS,False,WALTER CURE ELEVATOR,1253059,WDK9034,0.0,0.0,2.1,XX XXX,39,none
205770000,51.932346,4.1971283,0.0,358.1,129.0,0.0,5,2026-06-02 12:00:00.000000,MSSIS,False,ELISABETH,9442184,ONKB,0.0,0.0,5.3,PTSIENLRTM,80,none
319038600,43.589413,7.129385,0.0,360.0,52.0,0.0,5,2026-06-02 12:00:00.000000,MSSIS,False,GLOW,0,ZGBY6,0.0,0.0,1.6,,37,none
241656000,37.91533,23.704384,0.0,282.7,511.0,-731.3865,5,2026-06-02 11:59:59.000000,MSSIS,False,MILGAUSS,8546610,SVA8865,0.0,0.0,2.5,ALIMOS,37,none
240735100,37.88338,24.73449,0.1,245.5,202.0,0.0,0,2026-06-02 11:59:59.000000,MSSIS,False,PROTUG 33,9513244,SVB6345,0.0,0.0,3.5,GAVRIO TOW 15OM,52,none
503097380,-40.76818,145.30278,0.1,265.6,511.0,0.0,15,2026-06-02 12:00:00.000000,MSSIS,False,MASEL HARDY,0,,0.0,0.0,0.0,,0,none
210472000,-20.100927,118.56172,0.0,10.2,91.0,-0.17856115,1,2026-06-02 12:00:00.000000,MSSIS,False,SEABREEZE,9881110,5BKX6,0.0,0.0,9.3,AUPHE,70,none
257076980,-43.42353,147.14035,0.0,75.0,356.0,0.0,0,2026-06-02 12:00:00.000000,MSSIS,False,AQUA SPA,9839337,LFGH3,0.0,0.0,7.0,TASSAL FISH FARMS,75,none
422230109,24.990637,56.85742,0.0,329.3,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,ARSEIN,0,69,0.0,0.0,0.0,,30,none
538072741,37.696922,24.059168,0.0,245.5,264.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,BOOBALE,0,,0.0,0.0,0.0,,0,none
548355700,14.970923,119.993706,3.8,186.9,197.0,0.0,8,2026-06-02 12:00:00.000000,MSSIS,False,BTC MOUNT ARAYAT,9825283,DUA3774,0.0,0.0,5.6,MHC PIER 5,70,none
261005901,54.521526,18.550732,0.0,360.0,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,SPG5747,0.0,0.0,0.0,,36,none
636022866,1.3100417,104.10952,0.0,6.6,89.0,0.0,1,2026-06-02 12:00:01.000000,MSSIS,False,BRAVE,9335068,5LKU7,0.0,0.0,8.0,MY TLA,80,none
305033300,49.482513,-2.5123734,0.0,73.4,343.0,0.0,5,2026-06-02 12:00:01.000000,MSSIS,False,LIVA GRETA,8801072,V2B2033,0.0,0.0,3.5,GGGCI,70,none
232013509,47.870605,-3.9134433,0.0,360.0,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,KATE,0,,0.0,0.0,0.0,,0,none
