mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigatetion_status,updated,source_name,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
367001950,29.971853,-91.31347,0.0,218.7,511.0,-731.3865,0,1780317003,MSSIS,0,CAPT BOO,1067711,WDC3044,0.0,0.0,2.1,MORGAN CITY,31,1900-01-01 00:00:00
247368510,44.41588,8.83733,0.0,32.5,511.0,0.0,15,1780317008,MSSIS,0,,0,IK8439,0.0,0.0,0.0,,36,1900-01-01 00:00:00
235115424,50.767986,-1.22529,6.1,183.7,511.0,0.0,15,1780317008,MSSIS,0,SOLENT MISTRESS,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
218027530,54.403187,10.21832,0.0,360.0,51.0,0.0,15,1780317008,MSSIS,0,,0,DRIK,0.0,0.0,0.0,,55,1900-01-01 00:00:00
357067000,36.606697,-0.26106668,11.9,71.0,74.0,0.7142446,0,1780317008,MSSIS,0,MSC ELENI,9278143,H3BQ,0.0,0.0,9.5,ITGIT,71,1900-01-01 00:00:00
367101530,33.909092,-118.44785,0.1,360.0,511.0,-731.3865,0,1780317008,MSSIS,0,CARIBE ALLIANCE,0,WBI9216,0.0,0.0,0.0,ESMT,53,1900-01-01 00:00:00
211810220,53.32229,7.335338,2.5,0.5,3.0,0.0,5,1780317008,MSSIS,0,DRIEVER,0,DJ2263,0.0,0.0,1.2,OLDERSUM,90,1900-01-01 00:00:00
319231900,26.7489,-80.04944,0.0,359.0,197.0,0.0,5,1780317008,MSSIS,0,ADLER,0,ZGQJ8,0.0,0.0,1.7,WEST PALM BEACH,37,1900-01-01 00:00:00
245463000,51.98177,4.070115,11.3,112.0,116.0,720.00323,0,1780317008,MSSIS,0,VB SEAL,9448188,PDJM,0.0,0.0,5.2,NLROT HARBOURASST,52,1900-01-01 00:00:00
338499741,40.397663,-73.95869,15.1,182.2,175.0,25.712807,0,1780317008,MSSIS,0,RV OCEAN HAWK,0,,0.0,0.0,2.0,ATL CITY,90,1900-01-01 00:00:00
244013256,52.376656,4.8849034,0.0,360.0,511.0,-731.3865,0,1780317008,MSSIS,0,ATHENE,0,PC5043,0.0,0.0,0.8,AMSTERDAM,69,1900-01-01 00:00:00
368187730,48.62986,-122.95756,0.0,188.0,188.0,0.0,15,1780317008,MSSIS,0,,0,WDM2399,0.0,0.0,0.0,,37,1900-01-01 00:00:00
211871670,52.999035,5.704875,4.8,227.9,231.0,0.0,15,1780317008,MSSIS,0,TIMBO,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
232039509,50.80263,-1.1231567,0.3,360.0,511.0,0.0,15,1780317008,MSSIS,0,,0,MKMZ7,0.0,0.0,0.0,,36,1900-01-01 00:00:00
338098994,33.97299,-118.45276,0.0,0.5,511.0,0.0,15,1780317008,MSSIS,0,LAND SHARK,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
368150730,29.785843,-93.34054,0.0,239.5,511.0,-731.3865,12,1780317008,MSSIS,0,PAPOOSE,0,WDL6437,0.0,0.0,2.0,170,57,1900-01-01 00:00:00
211778130,44.533325,14.466053,0.0,360.0,511.0,0.0,15,1780317008,MSSIS,0,,0,DB3585,0.0,0.0,0.0,,37,1900-01-01 00:00:00
431011592,34.602585,135.13211,13.6,257.2,257.0,0.0,0,1780317008,MSSIS,0,NAGARA,9843778,JD4390,0.0,0.0,5.0,JP HIJ OFF,70,1900-01-01 00:00:00
211886790,51.696297,4.461223,8.8,98.7,511.0,-731.3865,0,1780317008,MSSIS,0,SYLVIA DEYMANN,0,DK7864,0.0,0.0,2.0,DILLINGEN,20,1900-01-01 00:00:00
205590390,51.811485,4.88154,0.0,47.9,221.0,0.0,0,1780317008,MSSIS,0,POLYBOTES,6004003,OT5903,0.0,0.0,2.3,WERKENDAM,70,1900-01-01 00:00:00
219031891,52.45928,5.043043,0.0,360.0,511.0,0.0,15,1780317008,MSSIS,0,,0,XPI3143,0.0,0.0,0.0,,37,1900-01-01 00:00:00
211325900,37.012966,-8.345732,2.8,94.6,511.0,0.0,15,1780317008,MSSIS,0,,0,DJ7001,0.0,0.0,0.0,,36,1900-01-01 00:00:00
244020779,51.716724,4.62002,8.4,30.8,511.0,-731.3865,0,1780317008,MSSIS,0,VESPERA,0,PF6971,0.0,0.0,0.0,DORDRECHT,79,1900-01-01 00:00:00
244750679,51.86352,4.3298883,2.4,274.5,511.0,-731.3865,0,1780317008,MSSIS,0,ZWARTEMEER,0,PG6332,0.0,0.0,1.0,SPIJKENISSERBRUG,79,1900-01-01 00:00:00
538008317,-29.88517,31.041014,0.1,319.3,64.0,0.0,5,1780317008,MSSIS,0,JABAL ALMISHT,9850769,V7A2231,0.0,0.0,12.4,ZADUR,70,1900-01-01 00:00:00
211514530,49.76445,6.63363,0.0,360.0,511.0,-731.3865,2,1780317008,MSSIS,0,UNDINE,0,DC2027,0.0,0.0,1.3,BERNKASTELTRIER,69,1900-01-01 00:00:00
244870437,51.88214,5.443977,0.0,360.0,511.0,-731.3865,0,1780317008,MSSIS,0,POMONA,0,PB4044,0.0,0.0,1.0,TIEL  WAMEL,69,1900-01-01 00:00:00
219002177,54.916325,11.360545,0.0,20.5,0.0,0.0,0,1780317008,MSSIS,0,CHRISTINE,9257632,OULO,0.0,0.0,2.2,KRAGENAES,60,1900-01-01 00:00:00
244150198,52.33544,4.9180617,0.0,360.0,511.0,-731.3865,0,1780317008,MSSIS,0,RUSSIAN STAR,0,PB8077,0.0,0.0,0.0,,69,1900-01-01 00:00:00
244070620,51.908577,4.482237,0.0,360.0,511.0,-731.3865,0,1780317008,MSSIS,0,SCHIE,0,PD2799,0.0,0.0,0.2,DORDRECHTHOOIKADE,69,1900-01-01 00:00:00
226015940,49.507294,8.450583,0.0,360.0,511.0,-731.3865,5,1780317008,MSSIS,0,SERENITY,0,FM7883,0.0,0.0,0.0,,20,1900-01-01 00:00:00
244040383,51.90799,4.47813,0.0,360.0,511.0,-731.3865,15,1780317008,MSSIS,0,PHOENIX,0,PG3593,0.0,0.0,0.0,,37,1900-01-01 00:00:00
563076900,52.412582,4.77272,0.1,9.6,343.0,0.0,5,1780317008,MSSIS,0,CEMTEX DILIGENCE,9820673,9V8672,0.0,0.0,12.8,NLAMS,70,1900-01-01 00:00:00
244660085,51.956623,5.3495784,7.4,126.8,511.0,-731.3865,0,1780317008,MSSIS,0,DIADEMAR,0,PI3151,0.0,0.0,0.0,ITTERENXXX,20,1900-01-01 00:00:00
244700206,51.69767,4.4265933,0.3,61.6,246.0,0.0,5,1780317008,MSSIS,0,LYDIA,0,PD2924,0.0,0.0,3.0,VERDER,79,1900-01-01 00:00:00
477464400,-33.9636,151.19983,0.0,187.5,168.0,0.0,5,1780317008,MSSIS,0,COSCO ISTANBUL,9484340,VRKY2,0.0,0.0,11.2,AU SYD,71,1900-01-01 00:00:00
244770322,52.53083,5.4374533,0.0,0.0,511.0,0.0,15,1780317008,MSSIS,0,,0,PE4319,0.0,0.0,0.0,,37,1900-01-01 00:00:00
319153700,39.56543,2.6331983,0.0,360.0,511.0,0.0,15,1780317008,MSSIS,0,,0,ZGIF9,0.0,0.0,0.0,,36,1900-01-01 00:00:00
269057090,52.694046,6.171778,0.0,360.0,511.0,-731.3865,0,1780317008,MSSIS,0,TRITON,0,HE7090,0.0,0.0,0.0,KAMPEN,99,1900-01-01 00:00:00
503289200,-27.371618,153.1665,9.0,214.6,211.0,0.0,15,1780317007,MSSIS,0,,0,VKPS,0.0,0.0,0.0,,97,1900-01-01 00:00:00
271044866,36.688732,27.79841,8.7,255.2,511.0,0.0,15,1780317007,MSSIS,0,AGA 6,0,YMA3808,0.0,0.0,0.0,,37,1900-01-01 00:00:00
567908722,11.95763,100.334,2.0,192.8,511.0,0.0,15,1780317007,MSSIS,0,,0,1234567,0.0,0.0,0.0,,30,1900-01-01 00:00:00
567908373,11.949028,100.3069,2.6,278.4,511.0,0.0,15,1780317007,MSSIS,0,NAVEE1,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
219025287,55.62574,12.501384,0.0,358.9,511.0,0.0,15,1780317008,MSSIS,0,SIPPE,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
219032860,57.057785,9.902197,0.0,273.3,511.0,0.0,15,1780317008,MSSIS,0,FLEUR,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
238193510,39.135952,1.55706,6.2,327.4,347.0,0.0,15,1780317008,MSSIS,0,,0,9AB3285,0.0,0.0,0.0,,36,1900-01-01 00:00:00
211752300,39.4581,2.7024467,4.8,326.8,511.0,0.0,15,1780317008,MSSIS,0,,0,DG7249,0.0,0.0,0.0,,37,1900-01-01 00:00:00
265692130,42.953392,-9.303715,6.4,0.6,511.0,0.0,15,1780317008,MSSIS,0,THETIS,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
367446390,36.952465,-76.32809,0.0,237.0,87.0,0.0,0,1780317008,MSSIS,0,KAREN MORAN,9225603,WCZ6877,0.0,0.0,0.0,XX XXX,52,1900-01-01 00:00:00
