mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigatetion_status,updated,source_name,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
431002524,32.719383,128.94176,14.9,88.0,88.0,0.0,0,1780295673,MSSIS,0,MARINELINER,0,JD3205,0.0,0.0,4.0,JP NROFKNMSI,60,1900-01-01 00:00:00
431023786,33.908516,130.9103,7.6,279.0,282.0,720.00323,0,1780295673,MSSIS,0,GOKO MARU,1055791,JD5387,0.0,0.0,4.2,JP HKT WS,0,1900-01-01 00:00:00
219035011,55.443336,8.407732,0.0,360.0,511.0,0.0,15,1780295673,MSSIS,0,,0,XPI6073,0.0,0.0,0.0,,37,1900-01-01 00:00:00
338145832,33.749268,-118.1151,0.0,287.1,511.0,0.0,15,1780295673,MSSIS,0,,0,,0.0,0.0,0.0,,37,1900-01-01 00:00:00
440108610,34.6542,128.92499,0.3,148.2,511.0,-731.3865,0,1780295673,MSSIS,0,MYUNG JIN 201,0,751418,0.0,0.0,0.0,,52,1900-01-01 00:00:00
245472000,35.914776,-5.3032465,5.3,241.7,233.0,0.0,0,1780295673,MSSIS,0,ANTJE K,9198630,PBHS,0.0,0.0,4.0,ESCEU,70,1900-01-01 00:00:00
273453540,54.955055,20.213875,0.0,360.0,511.0,-731.3865,7,1780295673,MSSIS,0,MRTK1716,8722226,UESX,0.0,0.0,2.3,PIONERSKIY,30,1900-01-01 00:00:00
671447100,10.447962,44.94587,0.3,360.0,511.0,-731.3865,1,1780295673,MSSIS,0,HAMEED 1,7708417,5VJB6,0.0,0.0,4.6,SO BER,70,1900-01-01 00:00:00
224048850,38.020603,-0.07813333,0.6,161.1,511.0,-731.3865,7,1780295673,MSSIS,0,PLAYAALTEA SEGUNDO,0,EA4486,0.0,0.0,3.0,,30,1900-01-01 00:00:00
248006000,57.656612,10.702646,0.7,69.3,330.0,-6.4282017,1,1780295673,MSSIS,0,OSLO TS,9737383,9HA4475,0.0,0.0,8.7,PLGDNDKSKA,80,1900-01-01 00:00:00
211343680,54.3785,18.6576,0.0,27.0,346.0,0.0,5,1780295673,MSSIS,0,AKKA,9217230,DNPI,0.0,0.0,5.5,PL GDN,69,1900-01-01 00:00:00
636021450,37.346172,6.2019615,11.9,265.1,264.0,0.0,0,1780295673,MSSIS,0,FISHER,9177791,5LDZ4,0.0,0.0,8.4,NLRTM,70,1900-01-01 00:00:00
538009051,35.709934,-0.64397836,0.0,149.4,78.0,0.0,5,1780295673,MSSIS,0,SSI CONQUEST,9637416,V7A4245,0.0,0.0,10.8,DZ ORN,70,1900-01-01 00:00:00
352004817,50.255573,-1.451435,11.0,255.8,256.0,0.0,0,1780295673,MSSIS,0,BUCCOO REEF,973367400,3E7056,0.0,0.0,7.3,TTPTS,82,1900-01-01 00:00:00
366934290,47.261433,-122.43121,0.0,286.5,81.0,-0.044640288,5,1780295673,MSSIS,0,SANDRA FOSS,7502576,WYL4908,0.0,0.0,3.5,TACOMA WA,31,1900-01-01 00:00:00
244700997,52.380695,4.966632,0.0,360.0,511.0,-731.3865,5,1780295673,MSSIS,0,DWAAL IK WACHT U,0,PH2776,0.0,0.0,1.4,,37,1900-01-01 00:00:00
209994000,36.58745,12.729782,2.2,239.1,511.0,-731.3865,0,1780295673,MSSIS,0,ARCHANGELOS MICHAEL,0,5BNH5,0.0,0.0,0.0,,30,1900-01-01 00:00:00
538012617,2.12931,104.87778,0.1,353.7,194.0,0.0,1,1780295673,MSSIS,0,IMPERIAL,9324306,V7B3111,0.0,0.0,8.0,EAST OPL,80,1900-01-01 00:00:00
219363000,37.755257,17.90544,0.9,28.1,511.0,-731.3865,2,1780295673,MSSIS,0,HANNE DANICA,900623900,OWCC2,0.0,0.0,3.4,FOR ORDER,70,1900-01-01 00:00:00
563377000,16.818872,55.69989,13.2,261.2,258.0,0.0,0,1780295673,MSSIS,0,NORFOLK EXPRESS,9665592,9V2228,0.0,0.0,14.5,INNSAOMSLL,71,1900-01-01 00:00:00
227322420,43.060406,3.4495883,4.3,188.4,511.0,-731.3865,0,1780295673,MSSIS,0,FV ERCOLE LUCIE,0,FT 6962,0.0,0.0,0.0,,30,1900-01-01 00:00:00
245945000,40.877666,-10.1195,8.4,179.0,178.0,0.0,0,1780295673,MSSIS,0,NATO WARSHIP M864,0,PAEO,0.0,0.0,0.0,,35,1900-01-01 00:00:00
244730205,51.921455,4.50006,0.0,0.0,511.0,-731.3865,15,1780295673,MSSIS,0,CONTESSA,0,PB7857,0.0,0.0,0.0,RONDVAART,69,1900-01-01 00:00:00
244660720,51.35748,4.29482,0.0,360.0,167.0,0.0,5,1780295673,MSSIS,0,SOPHIA,0,PE8286,0.0,0.0,2.5,ROTTERDAM BOTLEK  BO,80,1900-01-01 00:00:00
251452000,66.483086,-24.10367,3.7,335.0,334.0,0.0,0,1780295673,MSSIS,0,FROSTI,9256963,TFLL,0.0,0.0,5.4,GRUNDARFJORDUR,30,1900-01-01 00:00:00
251561110,65.39389,-20.944876,0.0,49.3,511.0,-731.3865,15,1780295673,MSSIS,0,HARPA HU 4  1126,0,TFTD,0.0,0.0,0.0,,0,1900-01-01 00:00:00
431009152,35.65255,139.763,0.0,271.4,203.0,0.0,0,1780295673,MSSIS,0,CHIYOMARU,9810135,JD4142,0.0,0.0,4.5,JP TYO,70,1900-01-01 00:00:00
477997091,22.304802,114.157364,0.1,309.0,93.0,0.0,0,1780295673,MSSIS,0,HKK 1,0,SSD,0.0,0.0,2.0,HONG KONG,40,1900-01-01 00:00:00
255806329,51.878223,4.2740235,0.0,185.1,13.0,0.0,0,1780295673,MSSIS,0,CHARLOTTE ESSBERGER,9294680,CQEA6,0.0,0.0,5.6,NLRTM,89,1900-01-01 00:00:00
563183100,43.164227,5.1836734,15.8,356.4,355.0,-1.1160072,0,1780295673,MSSIS,0,LEEVSTEN,9869954,9V8690,0.0,0.0,5.7,FR MRS,79,1900-01-01 00:00:00
251539110,66.35271,-24.21293,1.3,236.1,329.0,-720.00323,7,1780295673,MSSIS,0,VIKTORIA,0,2574,0.0,0.0,1.0,SUDUREYRI,30,1900-01-01 00:00:00
368135920,46.011406,-122.855644,4.9,154.6,155.0,-720.00323,0,1780295673,MSSIS,0,AMERICAN JAZZ,1295690,WDL4897,0.0,0.0,2.3,KALAMA WA,60,1900-01-01 00:00:00
247044870,38.016026,12.496787,0.0,0.0,511.0,-731.3865,15,1780295673,MSSIS,0,MAMMA CATERINA,0,IKKF,0.0,0.0,2.0,,30,1900-01-01 00:00:00
211816700,51.94166,4.03234,0.0,226.7,511.0,-731.3865,5,1780295673,MSSIS,0,MANFRED DEYMANN 12,0,DF3428,0.0,0.0,2.1,NLRTM0116ADOCKX00050,99,1900-01-01 00:00:00
441467000,23.973095,-114.18129,15.6,311.5,311.0,0.0,0,1780295673,MSSIS,0,MORNING LADY,9445980,D8ML,0.0,0.0,7.7,KR USN,70,1900-01-01 00:00:00
366920910,34.00091,-77.95084,2.1,60.9,50.0,720.00323,0,1780295673,MSSIS,0,THOMAS DANN,8003307,WDG9719,0.0,0.0,4.3,US0X47,52,1900-01-01 00:00:00
538007874,58.868427,5.746735,0.0,287.7,178.0,0.0,5,1780295673,MSSIS,0,SEACOR   OHIO,9659385,V7UR8,0.0,0.0,4.9,SORE BOGSTEINEN,99,1900-01-01 00:00:00
232059000,37.930367,23.680983,0.0,222.7,66.0,0.0,5,1780295673,MSSIS,0,KALINGA,1002172,GCRT,0.0,0.0,3.5,FLISVOS MARINA,37,1900-01-01 00:00:00
565378000,1.2591484,103.8484,13.0,260.4,511.0,-731.3865,0,1780295673,MSSIS,0,GP48,0,9V7680,0.0,0.0,20.0,WAKANDA,1,1900-01-01 00:00:00
538011584,-27.38253,153.16205,0.0,85.2,41.0,0.0,5,1780295673,MSSIS,0,DUBAI SKY,1040069,V7A3161,0.0,0.0,7.2,AU BNE,70,1900-01-01 00:00:00
563205500,-33.97097,151.21373,0.0,113.0,250.0,0.0,5,1780295673,MSSIS,0,ALS CLIVIA,9969405,9V8629,0.0,0.0,10.7,AUBNE,70,1900-01-01 00:00:00
